[21, 55, 0.36796536796536794, 3.299679484397505]
[19, 9, 1.0, 2.5258809256100383]
[14, 36, 0.4563492063492063, 3.5381659612125076]
[14, 36, 0.4583333333333333, 3.5236019158096]
[20, 9, 1.0, 2.4884757682184255]
[14, 36, 0.4662698412698412, 3.436742928272939]
[17, 47, 0.42177722152690866, 2.8077886575950526]
[17, 47, 0.42177722152690866, 2.8077886575950526]
[20, 10, 1.0, 2.319628191396583]
[20, 9, 1.0, 2.4884757682184255]
[20, 9, 1.0, 2.4884757682184255]
[23, 49, 0.23425022182786157, 5.184067339716667]
[23, 49, 0.23425022182786157, 5.184067339716667]
[17, 51, 0.46020761245674735, 2.9129876685112883]
[17, 51, 0.45905420991926177, 2.9187722335360977]
[17, 51, 0.45905420991926177, 2.9187722335360977]
[17, 51, 0.45905420991926177, 2.9187722335360977]
[17, 51, 0.45905420991926177, 2.9187722335360977]
[17, 51, 0.45905420991926177, 2.9187722335360977]
[17, 51, 0.45905420991926177, 2.9187722335360977]
[17, 51, 0.46020761245674735, 2.9129876685112883]
[17, 51, 0.45905420991926177, 2.9187722335360977]
[6, 12, 0.4166666666666667, 7.850687024233618]
[6, 12, 0.4166666666666667, 7.850687024233618]
[6, 12, 0.4166666666666667, 7.850687024233618]
[7, 16, 0.48214285714285715, 6.518901730037296]
[5, 18, 0.5222222222222223, 6.677387602547396]
[7, 18, 0.4841269841269841, 6.600928830220468]
[7, 4, 1.0, 5.71162993854702]
[7, 3, 1.0, 6.853601822824598]
[7, 4, 1.0, 5.71162993854702]
[7, 4, 1.0, 5.71162993854702]
[7, 4, 1.0, 5.71162993854702]
[6, 12, 0.4166666666666667, 7.850687024233618]
[7, 17, 0.4957983193277311, 6.43776663591021]
[7, 3, 1.0, 6.853601822824598]
[7, 3, 1.0, 6.853601822824598]
[6, 12, 0.4166666666666667, 7.850687024233618]
[6, 12, 0.4166666666666667, 7.850687024233618]
[5, 18, 0.5222222222222223, 6.677387602547396]
[7, 3, 1.0, 6.853601822824598]
[19, 53, 0.39721946375372397, 3.0897755883602773]
[20, 10, 1.0, 2.319628191396583]
[20, 10, 1.0, 2.319628191396583]
[20, 10, 1.0, 2.319628191396583]
[19, 53, 0.38728897715988087, 3.076981992094438]
